Source,Target
1911.02807,1809.07845
1911.02807,1810.11981
1911.00689,1708.04975
1911.02142,1807.07838
1911.02142,2006.16545
1911.02142,2008.07125
1911.02142,2007.02407
1911.02142,1803.06975
1911.02142,2007.02220
1911.02142,1902.06705
1911.02142,1905.12386
1911.02142,1810.10939
1911.04231,2005.03717
1911.04231,1904.09664
1911.04231,1904.08189
1911.04231,1901.02970
1911.04231,2003.10176
1911.04231,1905.06658
1911.04231,1902.11020
1911.04231,1909.13476
1911.04231,2009.06887
1911.04231,2008.03087
1911.04231,2006.00710
1911.04231,2007.13866
1911.04231,1908.07433
1911.04231,1901.04780
1911.04231,1902.01275
1911.04231,1812.02541
1911.04231,2008.08823
1911.00891,2004.13248
1911.00891,1906.01815
1911.00891,2005.05814
1911.04681,2007.15220
1911.04681,2006.16384
1911.04681,1810.09519
1911.04681,1810.00363
1911.04681,1805.12152
1911.04681,2005.07652
1911.04681,1710.10571
1911.04681,2006.00602
1911.04681,1706.06083
1911.04681,1909.05822
1911.04681,1810.02180
1911.04681,2004.13617
1911.04681,1810.11914
1911.04681,2007.06555
1911.04681,2006.16520
1911.04681,1911.13268
1911.01205,1901.01808
1911.01205,1901.00596
1911.01205,2005.13209
1911.01205,2008.10707
1911.01205,1904.02818
1911.01205,2005.10636
1911.01205,1805.08490
1911.01205,1903.05734
1911.01205,1904.01720
1911.03019,1902.09689
1911.03019,2007.01002
1911.03019,1902.01697
1911.03872,1908.08351
1911.03872,1901.02860
1911.03872,1805.09657
1911.03872,1905.07799
1911.03105,2002.11665
1911.03105,1903.01432
1911.03105,1905.08448
1911.03105,1904.00070
1911.03105,1906.03794
1911.03105,2005.14425
1911.02690,1904.01201
1911.02690,2006.01460
1911.00571,1709.02974
1911.03671,1808.04730
1911.03671,1901.08898
1911.02490,2006.13799
1911.02490,2003.02306
1911.02490,2007.04074
1911.02490,2006.04216
1911.05035,1902.01028
1911.05035,1810.06682
1911.05035,1902.09689
1911.05035,1903.03040
1911.05035,1705.03341
1911.04169,2007.15817
1911.04107,1509.02971
1911.04107,1901.07510
1911.02085,2005.00691
1911.00995,1912.06193
1911.01015,1804.06120
1911.04335,1912.01703
1911.02888,1809.11096
1911.02888,1905.10887
1911.02888,1906.03950
1911.02888,1906.10112
1911.02888,1907.07171
1911.02888,1907.10786
1911.01421,1906.01502
1911.01421,1903.00724
1911.02079,1909.01264
1911.02079,1810.05723
1911.02079,1906.00091
1911.02079,1901.09504
1911.02079,1902.06822
1911.02079,1812.07872
1911.03249,1902.06744
1911.02710,1903.06733
1911.02710,2006.15655
1911.02710,2004.04946
1911.02710,2006.03937
1911.02710,1912.11114
1911.02710,1712.01378
1911.01106,1902.07296
1911.04415,1608.04636
1911.04415,1906.04705
1911.04415,2002.08907
1911.02761,1901.01892
1911.03183,1901.09531
1911.03183,1908.07873
1911.01172,1705.07204
1911.01172,1509.02971
1911.01172,1710.08864
1911.01172,1812.06369
1911.02645,1904.02817
1911.04225,1811.08790
1911.04008,1903.04538
1911.05351,2007.10466
1911.05351,2001.10223
1911.05351,1907.06515
1911.05351,2008.11363
1911.05351,1902.11065
1911.05351,2004.07532
1911.05351,1812.04948
1911.05351,2005.07688
1911.05351,2001.06564
1911.05351,1901.08971
1911.05351,1906.05856
1911.05351,1903.06836
1911.05351,1910.08854
1911.05351,1907.10786
1911.05351,2001.00179
1911.05351,1905.02259
1911.05351,1910.01717
1911.05384,1903.02428
1911.05384,1904.03177
1911.05384,1902.07153
1911.05384,1901.00596
1911.05384,2003.12277
1911.05384,1811.05868
1911.05384,2007.00730
1911.05384,1905.10947
1911.05384,1801.07829
1911.05384,2007.08216
1911.05384,1810.05997
1911.05384,1905.09550
1911.05071,1803.11347
1911.05071,1912.12773
1911.05071,1812.07671
1911.05071,1910.00618
1911.05071,1806.10166
1911.04144,2005.14684
1911.00627,2007.11762
1911.00627,2004.00779
1911.00627,2009.04642
1911.00627,2005.01233
1911.00627,1905.12156
1911.00627,1904.06903
1911.00627,2008.10710
1911.00627,2008.10680
1911.00627,1811.11745
1911.00627,1810.08768
1911.00627,2006.08070
1911.01774,1706.02275
1911.01059,1907.00650
1911.01059,1807.05688
1911.01059,1907.09665
1911.01059,1905.08711
1911.01059,1912.01703
1911.01059,1811.11721
1911.01059,1901.00596
1911.01059,1806.00681
1911.01059,1907.10233
1911.01059,1807.05073
1911.01059,1810.12348
1911.01679,1905.09704
1911.01679,1905.09710
1911.02322,1902.03368
1911.02322,1905.02793
1911.03653,1905.01039
1911.03653,1905.13746
1911.03653,1802.07513
1911.03826,1905.12794
1911.03826,2006.11149
1911.04220,1403.6508
1911.04220,1906.00729
1911.04220,1806.09795
1911.04220,1810.09026
1911.04220,2008.07303
1911.04220,2007.07461
1911.04220,1911.10635
1911.04623,1806.02817
1911.04623,2007.04238
1911.04623,1812.03664
1911.04623,1910.05199
1911.04623,2001.01385
1911.04623,2009.02653
1911.04623,1807.05960
1911.04623,2003.06670
1911.04623,2004.05439
1911.04623,1904.04232
1911.04623,2005.13402
1911.04623,2001.09849
1911.04623,1805.09921
1911.04623,2009.11253
1911.04623,2004.00705
1911.04623,1805.10123
1911.04623,2007.08872
1911.04623,2006.03806
1911.04623,1904.08502
1911.04623,1906.01905
1911.04623,2007.02519
1911.04623,1805.10002
1911.04623,2008.11297
1911.01986,1902.07816
1911.01986,2006.02163
1911.04021,1509.02971
1911.04021,1804.05714
1911.04021,2007.01465
1911.00822,1902.04161
1911.00822,1802.03494
1911.00822,1805.07866
1911.00822,1805.01352
1911.00822,1811.08886
1911.00822,1807.11091
1911.00822,1802.02627
1911.00886,1811.04155
1911.00886,2006.15346
1911.01685,2007.15546
1911.01685,1809.10483
1911.01685,1911.02278
1911.01685,2009.09780
1911.03863,2009.04891
1911.03863,1807.05960
1911.03863,2006.08779
1911.03863,1810.03642
1911.03863,1903.05987
1911.03863,1905.05644
1911.03863,2002.08866
1911.03863,2009.08445
1911.03863,1902.00751
1911.03863,1903.03096
1911.03863,1901.11373
1911.03863,2004.14355
1911.03863,2007.09604
1911.03863,1906.08237
1911.03863,1810.09502
1911.05377,1812.00488
1911.05377,1811.01791
1911.05377,2008.09346
1911.05377,1812.00332
1911.05377,2008.10833
1911.05377,2004.05224
1911.05377,2007.10042
1911.05377,1810.02695
1911.05377,1908.01238
1911.05377,2008.05158
1911.05377,1907.04648
1911.05377,2006.07644
1911.05377,1902.05356
1911.05377,2005.08607
1911.05377,1902.09212
1911.02319,2006.09611
1911.02369,1803.05649
1911.04822,2006.12100
1911.04429,2003.00653
1911.04429,2006.09136
1911.04429,1706.06083
1911.04429,1812.10528
1911.04429,2003.05730
1911.04429,1905.03679
1911.04936,2005.11081
1911.04936,1803.08475
1911.04936,1810.00826
1911.04936,2003.03600
1911.04936,1906.01227
1911.04936,2007.03151
1911.04936,2006.03750
1911.04936,2002.08539
1911.04936,2006.07054
1911.04936,2008.04130
1911.04936,1906.01629
1911.02377,1901.04215
1911.02377,1905.08537
1911.02377,1806.09055
1911.02377,1905.13577
1911.02377,1803.09050
1911.02377,1906.12091
1911.02377,1905.05040
1911.02377,1810.13306
1911.02377,1812.09926
1911.02377,1903.06694
1911.00735,1812.04948
1911.00735,2008.00362
1911.00735,1703.10593
1911.01220,2002.09080
1911.01220,1910.02420
1911.03472,2009.04632
1911.03472,1910.09976
1911.02254,1905.03817
1911.02254,1907.05012
1911.02254,2007.06081
1911.02254,2007.11354
1911.02254,1902.04885
1911.02254,1812.01097
1911.02254,1906.08935
1911.02254,1902.01046
1911.02254,1908.07873
1911.02254,1812.07210
1911.02254,1811.12469
1911.02254,1902.00146
1911.02254,2007.14861
1911.02254,1807.00459
1911.02254,1912.04977
1911.02254,1905.06874
1911.02254,1907.02189
1911.02254,1906.04329
1911.02254,2006.06983
1911.03422,1905.05992
1911.03165,2002.04600
1911.03165,2006.10027
1911.03165,2009.06200
1911.01702,1711.05240
1911.02396,1911.00383
1911.02557,2006.07113
1911.05371,1904.13132
1911.05371,1807.06653
1911.05371,1904.03148
1911.05371,2006.11480
1911.05371,2006.05849
1911.05371,1807.03748
1911.05371,2006.10039
1911.05371,2005.14169
1911.05371,2005.12320
1911.05371,2003.04298
1911.05371,2008.10312
1911.05371,1904.11567
1911.05371,2009.01674
1911.05371,2005.04966
1911.05371,2006.09882
1911.05371,1807.05520
1911.05371,1906.05849
1911.05371,2002.12247
1911.05371,1901.04596
1911.05371,2008.11702
1911.05371,2007.03196
1911.05371,1912.01991
1911.05371,2008.03030
1911.05371,2006.13662
1911.05371,2007.11866
1911.05371,1907.02544
1911.05371,2007.09502
1911.05371,2009.08107
1911.05371,1906.00910
1911.05371,1901.09005
1911.05371,1903.12355
1911.05371,1911.05722
1911.05371,1905.09272
1911.04521,2004.01160
1911.04521,1905.01562
1911.00467,2007.00187
1911.00467,1908.08474
1911.00467,2006.16234
1911.01898,2004.02803
1911.02933,1909.11646
1911.03124,2005.06695
1911.00828,1902.03633
1911.00828,1805.10309
1911.00828,1812.05905
1911.00828,1808.02093
1911.02008,1905.02263
1911.04873,2004.08212
1911.04873,1909.11851
1911.04873,1912.01412
1911.04873,1905.07961
1911.01325,1901.06077
1911.01325,1805.08061
1911.01325,2008.09524
1911.03366,1806.11038
1911.03366,2002.06215
1911.01575,1812.05189
1911.01575,1810.13258
1911.01575,2006.05440
1911.03391,1711.00253
1911.02175,1905.05824
1911.02391,1902.05009
1911.02521,1902.00347
1911.02521,1812.08434
1911.00630,2005.08748
1911.00630,1811.06965
1911.00630,1903.06681
1911.00630,1906.05433
1911.00630,1811.03619
1911.04209,1907.09693
1911.04209,1911.04206
1911.04209,2006.09745
1911.05184,1802.05351
1911.02054,2007.04806
1911.02054,2007.11354
1911.02054,2001.05647
1911.02054,2009.00155
1911.02054,1905.01270
1911.02054,2002.11545
1911.02054,2002.08546
1911.02054,1904.12347
1911.02054,2008.11364
1911.02054,1812.03337
1911.02054,1812.01754
1911.03584,2007.13657
1911.03584,2007.00072
1911.03584,2006.16362
1911.03584,2006.15102
1911.03584,2006.03677
1911.03584,2005.12872
1911.03584,2005.13303
1911.03584,2006.09717
1911.03584,1901.10738
1911.03584,2003.08165
1911.03584,2008.04015
1911.03584,2006.12065
1911.03584,2006.16236
1911.03584,2006.10540
1911.04254,1901.10185
1911.04254,1904.07223
1911.04254,1909.11975
1911.00632,1811.08201
1911.00632,1812.07049
1911.00632,1801.04381
1911.00632,1907.11357
1911.00632,1811.11431
1911.00632,1902.04502
1911.00632,1809.02983
1911.03970,1801.07698
1911.03970,1902.03190
1911.03970,1810.04719
1911.03970,1805.09298
1911.03658,2006.11783
1911.03658,2007.07052
1911.04058,1904.08920
1911.04293,1902.07698
1911.01672,1811.10452
1911.04156,1903.06164
1911.04156,1904.00761
