Source,Target
2005.06654,2009.06604
2005.06654,1812.04948
2005.03950,1807.05511
2005.03950,1906.07155
2005.03950,1912.01703
2005.03950,1809.02165
2005.03950,1910.12031
2005.03950,1905.05055
2005.03950,2003.09093
2005.03950,1905.00641
2005.07486,1907.08610
2005.07486,1908.02265
2005.07486,1904.00962
2005.07486,1908.03557
2005.07486,1905.07799
2005.07486,1908.08530
2005.07486,1909.11556
2005.07486,1908.07490
2005.07647,1906.08237
2005.07647,1906.07983
2005.07804,2006.01983
2005.07804,1907.01406
2005.04557,1905.10437
2005.04557,1910.03023
2005.06401,1903.06274
2005.06401,1812.10622
2005.06262,1908.07433
2005.06262,1812.02541
2005.06262,1902.11020
2005.04544,2009.08457
2005.03482,1906.12269
2005.03482,1902.09192
2005.03482,1908.07558
2005.03482,1905.10029
2005.03482,1908.01297
2005.03482,1905.03679
2005.05913,2002.02417
2005.05913,2009.09908
2005.05847,1902.08455
2005.05847,1810.00337
2005.05847,1803.08475
2005.05847,1811.06128
2005.05847,2008.04213
2005.05847,1910.00517
2005.05847,1912.05784
2005.03356,1906.03327
2005.03356,1809.01696
2005.03356,1904.11574
2005.03356,1904.00623
2005.03867,1710.10467
2005.03867,1810.10884
2005.03867,1906.08333
2005.03867,1909.11886
2005.03867,1912.01703
2005.03867,1910.00341
2005.03867,2004.03194
2005.05267,1910.05672
2005.05267,1703.10593
2005.05267,2007.09191
2005.05267,1905.01164
2005.05267,1812.04948
2005.05267,1809.11096
2005.03474,1902.03731
2005.03474,2006.04778
2005.03474,1806.06055
2005.05594,2009.09231
2005.04879,1809.11165
2005.04879,1903.08114
2005.07344,1906.07155
2005.07344,1910.06160
2005.07344,1901.03278
2005.07344,1904.02701
2005.07344,1904.01355
2005.07344,1904.04821
2005.07344,1904.03629
2005.04888,2005.05003
2005.04888,2005.09856
2005.06282,1906.00080
2005.05125,1911.13225
2005.05125,1804.00874
2005.05125,1901.05103
2005.05125,1903.08642
2005.05125,1904.02251
2005.05125,1906.02739
2005.05125,1905.11911
2005.05125,1904.10097
2005.05125,1812.07003
2005.05125,1812.03828
2005.05125,2007.13034
2005.05125,1906.01618
2005.05125,1806.00557
2005.05125,1801.00868
2005.05125,1812.07976
2005.05125,1811.11921
2005.05125,1809.09149
2005.05125,1901.11153
2005.03624,1803.01128
2005.04560,1603.06318
2005.04560,1904.03396
2005.04560,1808.10122
2005.04560,1906.03923
2005.07724,1806.07572
2005.07724,1902.06720
2005.07724,1811.04918
2005.07724,1901.02860
2005.07724,1810.02054
2005.07724,1901.08584
2005.07724,1802.08246
2005.03448,2006.08472
2005.03448,1810.11776
2005.05083,2007.05084
2005.05083,1909.09145
2005.05083,1902.04885
2005.05083,1911.06270
2005.05592,1907.04975
2005.05592,2006.03708
2005.05592,1909.01939
2005.05592,1810.06990
2005.04536,1708.07902
2005.07656,2003.05037
2005.07656,2003.13676
2005.07656,2003.14093
2005.07656,2003.09424
2005.08392,2001.09239
2005.08392,1910.12638
2005.08392,1904.03416
2005.08392,1904.03240
2005.08392,1910.12607
2005.08392,1911.09602
2005.08392,1912.01679
2005.08392,2007.06028
2005.08392,1911.03912
2005.08392,1807.03748
2005.08392,2004.05274
2005.08392,1901.08810
2005.08392,1910.05453
2005.07779,1809.10816
2005.07779,2009.11732
2005.08321,1706.06083
2005.08321,2005.05587
2005.08321,1901.04684
2005.08321,2009.10526
2005.08321,1901.09981
2005.08321,1705.07204
2005.08321,1904.13000
2005.03922,1904.08241
2005.03922,1904.12490
2005.03922,1911.10771
2005.06550,1902.03368
2005.06550,1901.09197
2005.06550,1902.03091
2005.06716,1807.08583
2005.06716,1703.02952
2005.06716,1809.03428
2005.06716,2003.12154
2005.06716,2006.05594
2005.06716,2007.10330
2005.05930,1901.07017
2005.05930,2007.07559
2005.03510,2009.04703
2005.03510,1908.08345
2005.03842,1901.06955
2005.03842,1907.10529
2005.03842,2005.14187
2005.03842,1908.09355
2005.03842,1910.06188
2005.03842,1908.08593
2005.03842,1911.08772
2005.03842,1710.09282
2005.03842,2002.11985
2005.03842,1909.03508
2005.03842,2004.02984
2005.03842,1909.11556
2005.03842,1909.05840
2005.03842,1903.12136
2005.03842,2002.00104
2005.03842,1909.10351
2005.05218,1902.04207
2005.05218,1902.06362
2005.06050,1904.02216
2005.06050,1812.01593
2005.06050,1903.04197
2005.06050,1903.08469
2005.06050,1912.01703
2005.06050,1904.10620
2005.06050,1903.04688
2005.06050,1907.13372
2005.06050,2008.12873
2005.04016,2009.05438
2005.04016,1907.06386
2005.04016,2005.05810
2005.04016,1907.04276
2005.03730,1907.07502
2005.04703,1806.03589
2005.04703,2005.03412
2005.08098,1902.11128
2005.08098,2009.02381
2005.08098,2004.09309
2005.03620,1902.10552
